,author,title,sentence_nr,entity,kind,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,sentiment
550,"Orwell, George",1984,959,Charringtons,person,0,4,0,0,4,8,8,8,0,8,0
551,"Orwell, George",1984,959,O'Brien,person,0,4,0,0,4,8,8,8,0,8,0
557,"Orwell, George",1984,968,Winston,person,2,0,0,2,0,2,0,0,0,0,-2
559,"Orwell, George",1984,970,"Oliver
Cromwell",person,0,0,0,0,0,0,2,0,0,0,2
565,"Orwell, George",1984,978,Howe,person,0,2,0,0,2,0,2,0,2,2,2
571,"Orwell, George",1984,988,Syme,person,0,0,0,0,0,0,2,0,0,0,2
575,"Orwell, George",1984,995,Winston,person,2,0,2,3,0,3,2,1,2,0,-1
579,"Orwell, George",1984,1007,Julia,person,0,8,0,0,8,0,8,0,4,4,8
580,"Orwell, George",1984,1007,Charrington,person,0,8,0,0,8,0,8,0,4,4,8
581,"Orwell, George",1984,1007,O'Brien,person,0,8,0,0,8,0,8,0,4,4,8
591,"Orwell, George",1984,1031,Winston,person,0,4,0,0,0,0,0,0,0,0,0
592,"Orwell, George",1984,1031,O'Brien,person,0,4,0,0,0,0,0,0,0,0,0
594,"Orwell, George",1984,1036,Winston,person,0,3,0,0,0,0,0,0,3,0,0
599,"Orwell, George",1984,1052,Big Brother,person,0,0,0,0,0,0,6,0,2,4,6
600,"Orwell, George",1984,1052,Comrade Ogilvy,person,0,0,0,0,0,0,6,0,2,4,6
605,"Orwell, George",1984,1062,Winston,person,0,0,0,0,0,0,2,0,0,0,2
615,"Orwell, George",1984,1089,O'Brien,person,0,2,0,1,1,0,1,0,1,1,1
646,"Orwell, George",1984,1125,Big Brother,person,0,0,0,0,1,0,2,0,0,2,2
647,"Orwell, George",1984,1128,Winston,person,2,0,2,2,0,2,0,2,0,0,-2
653,"Orwell, George",1984,1135,Big Brother,person,0,0,0,0,0,0,2,0,0,2,2
657,"Orwell, George",1984,1148,Charrington,person,0,0,0,0,0,0,3,0,0,0,3
658,"Orwell, George",1984,1148,Charringtons,person,0,0,0,0,0,0,3,0,0,0,3
660,"Orwell, George",1984,1149,Winston,person,6,6,6,6,0,6,6,6,0,0,0
661,"Orwell, George",1984,1149,Julia,person,6,6,6,6,0,6,6,6,0,0,0
662,"Orwell, George",1984,1149,Charrington,person,6,6,6,6,0,6,6,6,0,0,0
663,"Orwell, George",1984,1149,Charringtons,person,6,6,6,6,0,6,6,6,0,0,0
667,"Orwell, George",1984,1151,Winston,person,6,3,6,6,0,6,0,6,0,0,-6
668,"Orwell, George",1984,1151,O'Brien,person,6,3,6,6,0,6,0,6,0,0,-6
